name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
"Meteorite Hills 01099,16332,Valid,Stony,Ordinary,L5,17.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01100,16333,Valid,Stony,Ordinary,L5,20.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01101,16334,Valid,Stony,Ordinary,L5,12.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01102,16335,Valid,Stony,Ordinary,L5,36.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01103,16336,Valid,Stony,Ordinary,LL5,29.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01104,16337,Valid,Stony,Ordinary,LL6,7.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01105,16338,Valid,Stony,Ordinary,L5,1.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01106,16339,Valid,Stony,Ordinary,L5,42.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01107,16340,Valid,Stony,Ordinary,L5,32.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01108,16341,Valid,Stony,Ordinary,LL5,9.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01109,16342,Valid,Stony,Ordinary,L5,1.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01110,16343,Valid,Stony,Ordinary,LL6,7.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01111,16344,Valid,Stony,Ordinary,L5,32.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
