name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
"Meteorite Hills 01300,16532,Valid,Stony,Ordinary,L6,4.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01301,16533,Valid,Stony,Ordinary,L5,5.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01302,16534,Valid,Stony,Ordinary,LL5,4.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01303,16535,Valid,Stony,Ordinary,LL5,6.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01304,16536,Valid,Stony,Ordinary,LL6,9.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01305,16537,Valid,Stony,Ordinary,L5,39.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01306,16538,Valid,Stony,Ordinary,H5,4.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01307,16539,Valid,Stony,Ordinary,LL6,8.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01308,16540,Valid,Stony,Ordinary,L5,13.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01309,16541,Valid,Stony,Ordinary,H5,4.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01310,16542,Valid,Stony,Ordinary,L5,8.2,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01311,16543,Valid,Stony,Ordinary,H5,14.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01312,16544,Valid,Stony,Ordinary,L5,12,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01313,16545,Valid,Stony,Ordinary,H5,6.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01314,16546,Valid,Stony,Ordinary,H5,3.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01315,16547,Valid,Stony,Ordinary,L5,4.5,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01316,16548,Valid,Stony,Ordinary,L5,5.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01317,16549,Valid,Stony,Ordinary,H5,1.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01318,16550,Valid,Stony,Ordinary,L5,10.6,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01319,16551,Valid,Stony,Ordinary,L5,14.7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01320,16552,Valid,Stony,Ordinary,LL5,3.3,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01321,16553,Valid,Stony,Ordinary,H5,15.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01322,16554,Valid,Stony,Ordinary,L3.6,8.4,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01323,16555,Valid,Stony,Ordinary,L5,7,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01324,16556,Valid,Stony,Ordinary,L5,10.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01325,16557,Valid,Stony,Ordinary,L5,29.8,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 01326,16558,Valid,Stony,Ordinary,L5,10.9,Found,2001-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001000,15496,Valid,Stony,Ordinary,L5,16.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001001,15497,Valid,Stony,Ordinary,L5,4.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001002,15498,Valid,Stony,Ordinary,H6,17.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001003,15499,Valid,Stony,Ordinary,L6,13.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001004,15500,Valid,Stony,Ordinary,L5,27,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001005,15501,Valid,Stony,Ordinary,LL5,29.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001006,15502,Valid,Stony,Ordinary,L5,10.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001007,15503,Valid,Stony,Ordinary,L5,18.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001008,15504,Valid,Stony,Ordinary,H6,10.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001009,15505,Valid,Stony,Ordinary,L5,19.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001010,15506,Valid,Stony,Ordinary,LL6,1.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001011,15507,Valid,Stony,Ordinary,LL5,11.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001013,15509,Valid,Stony,Ordinary,H6,10.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001014,15510,Valid,Stony,Ordinary,H5,10.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001015,15511,Valid,Stony,Ordinary,H6,22,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001016,15512,Valid,Stony,Ordinary,H5,11.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001017,15513,Valid,Stony,Ordinary,H6,18.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001018,15514,Valid,Stony,Ordinary,H6,11.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001019,15515,Valid,Stony,Ordinary,H5,23,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001020,15516,Valid,Stony,Ordinary,L5,55.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001021,15517,Valid,Stony,Ordinary,LL5,23,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001022,15518,Valid,Stony,Ordinary,H5,19.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001023,15519,Valid,Stony,Ordinary,LL6,35.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001024,15520,Valid,Stony,Ordinary,LL6,19.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001025,15521,Valid,Stony,Ordinary,LL5,31.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001026,15522,Valid,Stony,Ordinary,L5,51.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001027,15523,Valid,Stony,Ordinary,H5,18.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001028,15524,Valid,Stony,Ordinary,H6,7.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001029,15525,Valid,Stony,Ordinary,H5,34.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001030,15526,Valid,Stony,Ordinary,H6,20.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001031,15527,Valid,Stony-Iron,Achondrites,Mesosiderite,6.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001032,15528,Valid,Stony,Ordinary,H6,9.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001033,15529,Valid,Stony,Ordinary,H6,16.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001034,15530,Valid,Stony,Ordinary,LL5,29.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001035,15531,Valid,Stony,Ordinary,H6,22.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001036,15532,Valid,Stony,Ordinary,H6,35.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001037,15533,Valid,Stony,Ordinary,H6,18.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001039,15535,Valid,Stony,Ordinary,H6,27.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001040,15536,Valid,Stony,Ordinary,L5,43.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001041,15537,Valid,Stony,Ordinary,H6,11.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001042,15538,Valid,Stony,Ordinary,H6,25.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001043,15539,Valid,Stony,Ordinary,H6,58.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001044,15540,Valid,Stony,Ordinary,H6,12.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001045,15541,Valid,Stony,Ordinary,H6,7.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001046,15542,Valid,Stony,Ordinary,LL5,6.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001047,15543,Valid,Stony,Ordinary,H5,22.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001048,15544,Valid,Stony,Ordinary,H6,11,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001049,15545,Valid,Stony,Ordinary,H4,37.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001050,15546,Valid,Stony,Ordinary,LL6,67.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001051,15547,Valid,Stony,Ordinary,H6,11.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001052,15548,Valid,Stony,Ordinary,L6,26.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001053,15549,Valid,Stony,Ordinary,L5,17.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001054,15550,Valid,Stony,Ordinary,H6,4.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001055,15551,Valid,Stony,Ordinary,L5,6.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001056,15552,Valid,Stony,Ordinary,H5,18.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001057,15553,Valid,Stony,Ordinary,LL6,27.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001058,15554,Valid,Stony,Ordinary,LL6,37.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001059,15555,Valid,Stony,Ordinary,H6,26.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001061,15557,Valid,Stony,Ordinary,H6,23.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001062,15558,Valid,Stony,Ordinary,H6,40.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001063,15559,Valid,Stony,Ordinary,L6,12.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001064,15560,Valid,Stony,Ordinary,H6,14.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001065,15561,Valid,Stony,Ordinary,H6,10.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001066,15562,Valid,Stony,Ordinary,H6,19.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001067,15563,Valid,Stony,Ordinary,H5,33.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001068,15564,Valid,Stony,Ordinary,L5,7.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001069,15565,Valid,Stony,Ordinary,H6,10.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001070,15566,Valid,Stony,Ordinary,LL5,6.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001071,15567,Valid,Stony,Ordinary,L5,7.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001072,15568,Valid,Stony,Ordinary,LL6,34.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001073,15569,Valid,Stony,Ordinary,H6,32,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001074,15570,Valid,Stony,Ordinary,H6,19.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001075,15571,Valid,Stony,Ordinary,H6,7.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001076,15572,Valid,Stony,Ordinary,H6,8.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001077,15573,Valid,Stony,Ordinary,H6,40.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001078,15574,Valid,Stony,Ordinary,L6,22.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001079,15575,Valid,Stony,Ordinary,LL6,18.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001080,15576,Valid,Stony,Ordinary,L6,9.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001081,15577,Valid,Stony,Ordinary,H5,8.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001082,15578,Valid,Stony,Ordinary,LL5,17,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001083,15579,Valid,Stony,Ordinary,LL5,9.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001084,15580,Valid,Stony,Ordinary,LL5,8.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001085,15581,Valid,Stony,Ordinary,H5,29.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001086,15582,Valid,Stony,Ordinary,LL5,9.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001088,15584,Valid,Stony,Ordinary,H6,34.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001089,15585,Valid,Stony,Ordinary,H6,21,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001090,15586,Valid,Stony,Ordinary,H6,33.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001091,15587,Valid,Stony,Ordinary,H6,25.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001092,15588,Valid,Stony,Ordinary,H5,0.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001093,15589,Valid,Stony,Ordinary,L5,12.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001094,15590,Valid,Stony,Ordinary,H5,14.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001095,15591,Valid,Stony,Ordinary,H5,8.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001096,15592,Valid,Stony,Ordinary,LL5,17.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001097,15593,Valid,Stony,Ordinary,L6,36.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001098,15594,Valid,Stony,Ordinary,L6,9.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001099,15595,Valid,Stony,Ordinary,H6,16.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001100,15596,Valid,Stony,Ordinary,L6,15.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001101,15597,Valid,Stony,Ordinary,H6,36.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001102,15598,Valid,Stony,Ordinary,H5,7.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001103,15599,Valid,Stony,Ordinary,H6,22.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001104,15600,Valid,Stony,Ordinary,H5,19.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001105,15601,Valid,Stony,Ordinary,LL5,10.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001106,15602,Valid,Stony,Ordinary,LL4,45.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001107,15603,Valid,Stony,Ordinary,H6,16.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001108,15604,Valid,Stony,Ordinary,LL6,20.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001109,15605,Valid,Stony,Ordinary,L6,12,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001110,15606,Valid,Stony,Ordinary,H6,19,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001111,15607,Valid,Stony,Ordinary,H5,36.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001112,15608,Valid,Stony,Ordinary,H6,11.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001113,15609,Valid,Stony,Ordinary,LL6,12.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001114,15610,Valid,Stony,Ordinary,H5,56.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001115,15611,Valid,Stony,Ordinary,LL6,38.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001116,15612,Valid,Stony,Ordinary,LL6,23.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001117,15613,Valid,Stony,Ordinary,H5,18.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001118,15614,Valid,Stony,Ordinary,H5,11.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001119,15615,Valid,Stony,Ordinary,LL4,18.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001120,15616,Valid,Stony,Ordinary,H6,28.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001121,15617,Valid,Stony,Ordinary,H5,24.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001122,15618,Valid,Stony,Ordinary,H5,14.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001123,15619,Valid,Stony,Ordinary,H6,32.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001124,15620,Valid,Stony,Ordinary,H6,5.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001125,15621,Valid,Stony,Ordinary,H6,24.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001126,15622,Valid,Stony,Ordinary,H5,21.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001127,15623,Valid,Stony,Ordinary,H6,17,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001128,15624,Valid,Stony,Ordinary,L6,5.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001129,15625,Valid,Stony,Ordinary,LL5,11.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001130,15626,Valid,Stony,Ordinary,H6,54.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001131,15627,Valid,Stony,Ordinary,H6,18.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001132,15628,Valid,Stony,Ordinary,H6,10.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001133,15629,Valid,Stony,Ordinary,L5,4.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001134,15630,Valid,Stony,Ordinary,LL4,7.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001135,15631,Valid,Stony,Ordinary,H6,3.8,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001137,15633,Valid,Stony,Ordinary,LL5,1.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 001138,15634,Valid,Stony,Ordinary,L5,0.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00429,15664,Valid,Stony,Carbonaceous,CV3,30.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00430,15665,Valid,Stony,Carbonaceous,CV3,151.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00452,15687,Valid,Stony,Ordinary,L(LL)3.05,774.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00455,15690,Valid,Stony,Ordinary,L5,489,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00460,15695,Valid,Stony,Ordinary,H5,700.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00461,15696,Valid,Stony,Ordinary,L6,518,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00525,15760,Valid,Stony,Ordinary,H5,135.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00526,15761,Valid,Stony,Ordinary,L(LL)3.05,208.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00528,15763,Valid,Stony,Ordinary,H5,104.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00529,15764,Valid,Stony,Ordinary,H6,152.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00546,15781,Valid,Stony,Ordinary,H5,75.87,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00547,15782,Valid,Stony,Ordinary,LL6,68.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00548,15783,Valid,Stony,Ordinary,L5,89.7,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00667,15901,Valid,Stony,Ordinary,LL6,22.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00668,15902,Valid,Stony,Ordinary,LL6,6.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00669,15903,Valid,Stony,Ordinary,H6,14.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00700,15934,Valid,Stony,Ordinary,H6,54,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00701,15935,Valid,Stony,Ordinary,L5,15,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00702,15936,Valid,Stony,Ordinary,H6,43,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00703,15937,Valid,Stony,Ordinary,H5,32.1,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00704,15938,Valid,Stony,Ordinary,LL5,5.3,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00705,15939,Valid,Stony,Ordinary,L6,6.6,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00706,15940,Valid,Stony,Ordinary,L5,12.4,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00707,15941,Valid,Stony,Ordinary,L4,15.2,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00708,15942,Valid,Stony,Ordinary,LL6,20.5,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00710,15944,Valid,Stony,Ordinary,L5,16.9,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
"Meteorite Hills 00711,15945,Valid,Stony,Carbonaceous,CO3,17,Found,2000-01-01,-79.68333,159.75,""(-79.683330, 159.750000)"""
